Fecha entrada,Fecha Anulacion,Fecha venta,Noches,Tip.Hab.Fra.,Régimen factura,AD,NI,CU,Horario venta,Precio alojamiento,Precio desayuno,Precio almuerzo,Precio cena,Cantidad Habitaciones,Mes Entrada,Mes Venta,Antelacion,Score Canc
2016-08-29,2016-08-11,2016-08-09,3,EC,PC,4,0,0,Mañana,382.2000000000001,20.13,50.31,50.31,1,August,August,20,0.9047619047619048
2016-08-20,2016-08-10,2016-08-10,3,EC,SA,2,0,0,Mañana,386.46,0.0,0.0,0.0,1,August,August,10,1.0
2016-08-22,2016-08-10,2016-08-10,3,EC,MPC,2,1,0,Mañana,352.5,16.41,0.0,40.98,1,August,August,12,1.0
2016-08-22,2016-08-10,2016-08-10,3,EC,MPC,2,0,1,Mañana,0.0,0.0,0.0,0.0,1,August,August,12,1.0
2016-08-22,2016-08-10,2016-08-10,3,EC,MPC,2,0,0,Mañana,0.0,0.0,0.0,0.0,1,August,August,12,1.0
2016-08-22,2016-08-11,2016-08-10,3,EC,MPC,2,1,0,Mañana,0.0,0.0,0.0,0.0,1,August,August,12,0.9230769230769231
2016-09-08,2016-08-17,2016-08-10,3,EC,MPC,2,0,0,Mañana,297.78000000000003,13.86,0.0,34.62,1,September,August,29,0.7666666666666667
2016-09-11,2016-08-11,2016-08-10,6,EC,SA,2,0,0,Tarde,398.16,0.0,0.0,0.0,1,September,August,32,0.9696969696969697
2016-08-28,2016-08-18,2016-08-10,1,EC,HD,2,0,0,Tarde,104.41,4.35,0.0,0.0,1,August,August,18,0.5789473684210527
2016-09-01,2016-08-24,2016-08-10,4,EC,PC,2,0,0,Noche,395.96,20.84,52.12,52.12,1,September,August,22,0.391304347826087
2016-09-13,2016-08-31,2016-08-10,3,EC,HD,2,0,0,Noche,166.83999,6.959999999999999,0.0,0.0,1,September,August,34,0.4
2016-08-20,2016-08-11,2016-08-10,5,EC,PC,1,0,0,Noche,428.09,22.55,56.35,56.35,1,August,August,10,0.9090909090909091
2016-08-15,2016-08-13,2016-08-10,2,EC,PC,2,0,0,Noche,182.32,9.6,23.98,23.98,1,August,August,5,0.5
2016-08-23,2016-08-19,2016-08-11,3,EC,SA,2,0,0,Mañana,435.06000000000006,0.0,0.0,0.0,1,August,August,12,0.38461538461538464
2016-08-23,2016-08-11,2016-08-11,3,EC,HD,2,0,0,Tarde,321.18999,13.38,0.0,0.0,1,August,August,12,1.0
2016-08-14,2016-08-11,2016-08-09,7,DSC,MPC,2,0,0,Tarde,0.0,0.0,0.0,0.0,2,August,August,5,0.6666666666666666
2016-09-01,2016-08-12,2016-08-11,3,EC,PC,2,0,0,Tarde,296.97,15.63,39.09,39.09,1,September,August,21,0.9545454545454546
2016-08-29,2016-08-17,2016-08-11,4,EC,PC,3,0,0,Noche,318.52,16.76,41.92,41.92,2,August,August,18,0.6842105263157895
2016-08-29,2016-08-17,2016-08-11,4,EC,PC,3,0,0,Noche,318.52,16.76,41.92,41.92,2,August,August,18,0.6842105263157895
2016-08-30,2016-08-16,2016-08-11,5,EC,PC,1,0,0,Noche,345.13,18.15,45.4,45.4,1,August,August,19,0.75
2016-09-04,2016-08-16,2016-08-11,4,EC,PC,4,0,0,Noche,544.56,28.68,71.64,71.64,1,September,August,24,0.8
2016-08-20,2016-08-15,2016-08-12,6,EC,SA,2,2,0,Mañana,1129.63002,0.0,0.0,0.0,1,August,August,8,0.6666666666666666
2016-09-03,2016-08-24,2016-08-12,4,DSC,MPC,2,1,1,Mañana,553.76,25.76,0.0,64.4,1,September,August,22,0.4782608695652174
2016-09-11,2016-08-16,2016-08-12,1,EC,SA,2,0,0,Mañana,74.65,0.0,0.0,0.0,2,September,August,30,0.8709677419354839
2016-09-11,2016-08-16,2016-08-12,1,EC,SA,2,1,0,Mañana,74.65,0.0,0.0,0.0,2,September,August,30,0.8709677419354839
2016-09-01,2016-08-17,2016-08-12,3,EC,SA,2,2,0,Mañana,297.12,0.0,0.0,0.0,1,September,August,20,0.7619047619047619
2016-08-22,2016-08-12,2016-08-12,3,EM,SA,2,0,0,Mañana,463.26,0.0,0.0,0.0,1,August,August,10,1.0
2016-08-15,2016-08-14,2016-08-12,1,EC,PC,2,2,0,Tarde,125.34,6.6,16.49,16.49,1,August,August,3,0.5
2016-08-21,2016-08-17,2016-08-12,7,EC,SA,2,0,0,Mañana,962.92,0.0,0.0,0.0,1,August,August,9,0.5
2016-08-20,2016-08-16,2016-08-12,3,EC,SA,2,0,0,Mañana,386.46,0.0,0.0,0.0,1,August,August,8,0.5555555555555556
2016-08-27,2016-08-16,2016-08-13,7,EC,PC,1,0,0,Tarde,497.47998999999993,26.18,65.45,65.45,1,August,August,14,0.8
